startHub,endHub,kmLength_euclid,kmLength_road,exist_pipeline
baytown,texasCity,38.01138539,46.6689,0
texarkana,tyler,166.6560643,186.2513,0
elPaso,vanHorn,173.4742098,193.9766,0
odessa,amarillo,375.6639715,417.0405,0
sanJacinto,laPorte,94.6627284,125.328,1
lubbock,amarillo,182.2704633,199.9761,0
austin,sanAntonio,118.4357018,128.1755,0
freeport,pearland,67.86528931,84.2207,0
orange,beaumont,19.45275466,30.3456,0
killeen,abilene,240.9954531,291.8636,0
sanAngelo,abilene,126.7654991,142.5752,0
sanJacinto,collegeStation,107.3747321,139.729,0
sonora,sanAntonio,242.3868591,274.4966,0
lubbock,odessa,195.5789465,222.3433,0
collegeStation,houston,129.3125165,150.833,0
theWoodlands,houston,47.72118675,53.0509,0
channelview,montBelvieu,23.0134812,26.1509,1
amarillo,wichitaFalls,338.2304669,360.1839,0
orange,portArthur,24.89861907,32.4451,1
odessa,elPaso,384.9148284,451.8473,0
abilene,dallas,278.8348993,294.9925,0
corpusChristi,mcallen,191.4105755,251.0037,0
houston,sanAntonio,304.7100316,314.8698,0
abilene,wichitaFalls,198.4329551,245.9984,0
sanJacinto,deerPark,89.08899174,113.1167,1
lubbock,abilene,234.1907652,262.5814,0
wichitaFalls,dallas,201.5568218,221.4137,0
sanAngelo,sonora,101.2299322,106.4758,0
leagueCity,pearland,19.55844051,22.5041,0
channelview,houston,24.5015679,26.8133,0
brownsville,laredo,268.0962971,327.3235,0
midland,abilene,224.7908622,237.6475,0
waco,dallas,139.7196532,152.1758,0
brownsville,corpusChristi,205.2781347,259.2482,0
sanAngelo,midland,165.6757143,179.9833,0
collegeStation,killeen,147.3668742,173.4982,0
brazoria,pearland,47.0794569,55.3224,0
brownsville,mcallen,80.96802577,94.4341,0
sanJacinto,centerville,111.9501948,134.311,0
laPorte,texasCity,31.43692493,36.5799,1
fortWorth,abilene,228.7939702,242.637,0
odessa,sonora,216.6227219,274.6829,0
corpusChristi,laredo,208.3124279,225.3773,0
portArthur,beaumont,26.57951129,28.678,1
texasCity,pearland,40.26401569,48.681,0
collegeStation,waco,132.3919136,151.8123,0
killeen,waco,73.02188453,95.2058,0
baytown,laPorte,8.714227359,12.1933,0
odessa,midland,32.08354939,36.6664,0
freeport,leagueCity,66.41128953,82.8687,0
chocolateBay,brazoria,127.3404813,142.3794,0
mcallen,laredo,193.1206529,233.948,0
lubbock,midland,174.3745659,190.8203,0
centerville,tyler,136.884369,156.6349,0
texasCity,leagueCity,21.14811905,24.0094,0
theWoodlands,sugarLand,62.54328419,77.8823,0
fortWorth,dallas,50.18818948,52.2318,0
laredo,sanAntonio,232.195478,249.7856,0
chocolateBay,sanAntonio,205.7816955,229.7207,0
collegeStation,austin,142.3246369,173.8501,0
killeen,austin,93.61096109,108.4576,0
collegeStation,sanAntonio,247.3348796,287.7686,0
elPaso,midland,412.5578138,490.4544,0
killeen,sanAntonio,201.2419018,234.5731,0
baytown,sanJacinto,87.92507556,111.4215,1
baytown,deerPark,14.53078176,18.6904,0
waco,austin,152.4524273,163.529,0
portArthur,montBelvieu,92.92805606,101.1626,1
pearland,houston,22.95856364,27.4337,0
vanHorn,midland,281.5386844,298.2076,0
theWoodlands,collegeStation,90.02676237,104.2403,0
tyler,dallas,147.8872291,157.2678,0
deerPark,houston,24.29016829,29.6361,0
baytown,montBelvieu,14.97150527,17.9036,1
texasCity,chocolateBay,188.125274,215.9939,1
sonora,abilene,224.6326991,249.9054,0
waco,centerville,115.4493228,132.499,0
sanJacinto,houston,84.65467166,98.326,0
pasadena,houston,17.04962638,22.9165,0
pasadena,pearland,15.92290381,20.1908,0
laPorte,leagueCity,18.98328607,23.9648,0
fortWorth,waco,134.3739834,143.5884,0
chocolateBay,freeport,129.0626324,163.3827,1
channelview,laPorte,15.28339969,27.5325,0
brazoria,sugarLand,50.22840023,65.7424,0
amarillo,midland,356.3241016,385.4229,0
theWoodlands,sanJacinto,47.78843271,79.4544,0
chocolateBay,corpusChristi,119.0332417,136.3303,0
freeport,brazoria,28.60695171,37.0902,1
pasadena,sugarLand,41.89910647,47.3465,0
amarillo,abilene,361.6363444,457.5596,0
fortWorth,wichitaFalls,167.2159745,184.1048,0
sugarLand,houston,30.06904997,32.7701,0
collegeStation,centerville,79.69262733,106.6197,0
channelview,deerPark,7.887419284,14.6043,1
theWoodlands,centerville,128.2379374,144.2665,0
sonora,midland,208.9199404,258.8869,0
deerPark,pearland,22.16779327,29.6409,0
laPorte,deerPark,10.99510054,13.6839,0
leagueCity,brazoria,53.27209536,62.8877,0
montBelvieu,laPorte,23.65325313,29.06,0
pearland,sugarLand,34.2652004,39.6207,0
texarkana,dallas,264.0746724,283.8125,0
odessa,vanHorn,250.021086,262.9496,0
corpusChristi,sanAntonio,212.6100705,234.1295,0
pasadena,deerPark,8.396339285,11.2156,1
deerPark,leagueCity,22.06255468,34.009,0
baytown,channelview,13.98836683,17.0076,0
channelview,pasadena,13.10757405,19.3076,1
texasCity,freeport,65.08311644,77.8973,0
sanAngelo,odessa,187.1968478,212.4114,0
pasadena,leagueCity,23.12982196,25.1804,0