hub,type,latitude,longitude,status,build_smr-noCCS,build_smr-low,build_smr-high,build_smr-high-ptc,build_electrolyzer,build_electrolyzer-RE,transportationFuel_tonnesperday,transportationFuel_carbonSensitive_tonnesperday,industrialFuel_tonnesperday,existing_tonnesperday,ng_usd_per_mmbtu,e_usd_per_kwh,capital_pm,water_usd_per_L
abilene,city,32.44645,-99.7475905,0,0,1,1,1,1,1,0,19,0,0,4.053912074,0.038959813,0.933288381,0.003
amarillo,city,35.2072185,-101.833824,0,0,1,1,1,1,1,0,31,0,0,4.150219349,0.038959813,0.946982956,0.003
austin,city,30.2711286,-97.7436995,1,0,1,1,1,1,0,0,354,0,0,4.182516115,0.043290426,0.921993104,0.003
baytown,city,29.7355047,-94.9774274,-1,0,1,1,1,1,1,0,0,0,538,4.140460697,0.046236011,0.914349379,0.003
beaumont,city,30.0860459,-94.1018461,0,0,1,1,1,1,1,0,0,0,538,4.188542715,0.046236011,0.91437932,0.003
brazoria,city,29.18161,-95.4993375,0,0,1,1,1,1,1,0,0,0,538,4.155303773,0.046236011,0.914163499,0.003
brownsville,city,25.9140277,-97.4890879,0,0,1,1,1,1,1,0,28,0,0,4.271289896,0.041660254,0.910581758,0.003
centerville,city,31.2578221,-95.9785301,0,0,1,1,1,1,1,0,0,0,0,4.125553244,0.043632017,0.921887964,0.003
channelview,city,29.7760599,-95.1146533,-1,0,1,1,1,1,0,0,0,0,538,4.140460697,0.046236011,0.914349379,0.003
chocolateBay,city,28.5782264,-96.61216172,-1,0,1,1,1,1,1,0,20,0,538,4.22252699,0.041660254,0.91308298,0.003
collegeStation,city,30.5955289,-96.3071042,0,0,1,1,1,1,1,0,0,0,0,4.128985647,0.043632017,0.918438632,0.003
corpusChristi,city,27.7635302,-97.4033191,0,0,1,1,1,1,1,0,51,0,0,4.267615799,0.041660254,0.913559979,0.003
dallas,city,32.7762719,-96.7968559,1,0,1,1,1,1,0,0,589,0,0,4.049164359,0.043632017,0.932665854,0.003
deerPark,city,29.7052284,-95.1238204,-1,0,1,1,1,1,0,0,0,0,538,4.140460697,0.046236011,0.914349379,0.003
elPaso,city,31.7865623,-106.441207,0,0,1,1,1,1,1,0,105,0,0,4.656782291,0.055,0.971240332,0.003
fortWorth,city,32.753177,-97.3327459,0,0,1,1,1,1,0,0,589,0,0,4.003925592,0.043632017,0.932980206,0.003
freeport,city,28.9541368,-95.3596617,-1,0,1,1,1,1,1,0,0,0,538,4.155303773,0.046236011,0.914163499,0.003
houston,city,29.7589382,-95.3676974,1,0,1,1,1,1,0,0,359,0,0,4.140460697,0.046236011,0.914349379,0.003
killeen,city,31.1171441,-97.727796,0,0,1,1,1,1,1,0,23,0,0,4.073876451,0.041660254,0.924616394,0.003
laPorte,city,29.6657838,-95.0193729,-1,0,1,1,1,1,0,0,0,0,538,4.140460697,0.046236011,0.914349379,0.003
laredo,city,27.5236998,-99.497352,0,0,1,1,1,1,1,0,40,0,0,4.304449221,0.041660254,0.913499032,0.003
leagueCity,city,29.5074538,-95.0949303,0,0,1,1,1,1,0,0,0,0,0,4.143461432,0.046236011,0.913578331,0.003
lubbock,city,33.5635206,-101.879336,0,0,1,1,1,1,1,0,40,0,0,4.15654518,0.038959813,0.939822512,0.003
mcallen,city,26.204114,-98.2300605,0,0,1,1,1,1,1,0,22,0,0,4.282127991,0.041660254,0.911220159,0.003
midland,city,31.9973662,-102.077948,0,0,1,1,1,1,1,0,22,0,0,4.241608162,0.038959813,0.940270121,0.003
montBelvieu,city,29.8477222,-94.890758,0,0,1,1,1,1,1,0,0,0,538,4.161970633,0.046236011,0.914021937,0.003
odessa,city,31.8457149,-102.367687,0,0,1,1,1,1,1,0,19,0,0,4.281039576,0.038959813,0.941398556,0.003
orange,city,30.1228634,-93.9041169,0,0,1,1,1,1,1,0,0,0,538,4.192498119,0.046236011,0.914948143,0.003
pasadena,city,29.6910753,-95.2092076,0,0,1,1,1,1,0,0,24,0,538,4.140460697,0.046236011,0.914349379,0.003
pearland,city,29.5639758,-95.2864299,0,0,1,1,1,1,0,0,20,0,0,4.155303773,0.046236011,0.914163499,0.003
portArthur,city,29.8988618,-93.9288723,0,0,1,1,1,1,1,0,0,0,538,4.188542715,0.046236011,0.91437932,0.003
sanAngelo,city,31.4649685,-100.4405094,0,0,1,1,1,1,1,0,0,0,0,4.159230042,0.038959813,0.930834353,0.003
sanAntonio,city,29.4246002,-98.4951405,0,0,1,1,1,1,0,0,397,0,0,4.266970286,0.043860413,0.919241878,0.003
sanJacinto,city,30.5083577,-95.1902362,0,0,1,1,1,1,1,0,0,0,538,4.159892325,0.043632017,0.916951128,0.003
sonora,city,30.5667344,-100.6428592,0,0,1,1,1,1,1,0,0,0,0,4.199531735,0.038959813,0.92806014,0.003
sugarLand,city,29.6196787,-95.6349463,0,0,1,1,1,1,0,0,18,0,0,4.154043616,0.046236011,0.914640102,0.003
texarkana,city,33.44667445,-94.07714831,0,0,1,1,1,1,1,0,0,0,0,4.351826731,0.043632017,0.931947656,0.003
texasCity,city,29.39013,-94.9175485,0,0,1,1,1,1,1,0,0,0,538,4.143461432,0.046236011,0.913578331,0.003
theWoodlands,city,30.1734194,-95.504686,0,0,1,1,1,1,0,0,0,0,0,4.143841691,0.046236011,0.916361484,0.003
tyler,city,32.3512601,-95.3010624,0,0,1,1,1,1,1,0,0,0,0,4.150365337,0.043632017,0.926886126,0.003
vanHorn,city,31.0429718,-104.831628,0,0,1,1,1,1,1,0,0,0,0,4.435595592,0.038959813,0.955274908,0.003
waco,city,31.549333,-97.1466695,0,0,1,1,1,1,1,0,21,0,0,4.021041851,0.043632017,0.926566559,0.003
wichitaFalls,city,33.9004572,-98.5020777,0,0,1,1,1,1,1,0,0,0,0,4.118744245,0.038959813,0.938876459,0.003
